epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1323.19,1.81321,2.57581,0.00839,0.64145,0.58845,0.6003,0.29563,1.73338,1.41679,0.00992,0.000553646,0.000553646,0.000553646
2,1531.11,1.82209,1.62508,0.00873,0.63724,0.56205,0.60686,0.30399,1.75161,1.4686,0.01004,0.00109427,0.00109427,0.00109427
3,1737.41,1.82004,1.57529,0.00852,0.62029,0.58027,0.61733,0.31046,1.78867,1.47162,0.01027,0.00161982,0.00161982,0.00161982
4,1943.38,1.77491,1.51535,0.00831,0.6908,0.5775,0.66427,0.35857,1.67793,1.29839,0.00958,0.00159918,0.00159918,0.00159918
5,2150.41,1.72957,1.39705,0.00806,0.68952,0.65317,0.70664,0.36634,1.68365,1.18809,0.00964,0.00157657,0.00157657,0.00157657
6,2357.63,1.70519,1.33795,0.00806,0.73095,0.67572,0.74154,0.39492,1.63656,1.07729,0.0093,0.00155396,0.00155396,0.00155396
7,2565.65,1.6856,1.27011,0.00796,0.75343,0.6681,0.73905,0.39523,1.63255,1.12829,0.00932,0.00153136,0.00153136,0.00153136
8,2780.6,1.64033,1.24244,0.0077,0.78917,0.68719,0.77373,0.427,1.61026,0.98728,0.00924,0.00150875,0.00150875,0.00150875
9,2986.06,1.62713,1.20017,0.00748,0.72138,0.69303,0.73478,0.40598,1.58461,1.05866,0.0088,0.00148614,0.00148614,0.00148614
10,3190.07,1.59477,1.13566,0.00734,0.76893,0.70254,0.77388,0.44306,1.52688,0.98812,0.00841,0.00146353,0.00146353,0.00146353
11,3394.71,1.58775,1.10536,0.0073,0.78756,0.73005,0.80944,0.44712,1.52134,0.87641,0.00847,0.00144093,0.00144093,0.00144093
12,3599.05,1.58166,1.09624,0.00724,0.8104,0.73241,0.80519,0.45346,1.55902,0.88985,0.00895,0.00141832,0.00141832,0.00141832
13,3803.5,1.55999,1.04913,0.00714,0.81359,0.75726,0.83209,0.47584,1.50693,0.85345,0.00837,0.00139571,0.00139571,0.00139571
14,4007.69,1.55258,1.03893,0.00713,0.81965,0.74843,0.83031,0.4842,1.46079,0.84112,0.00812,0.00137311,0.00137311,0.00137311
15,4211.21,1.53197,1.01953,0.00705,0.85064,0.75687,0.84831,0.48999,1.50649,0.81705,0.00835,0.0013505,0.0013505,0.0013505
16,4416.53,1.50198,0.997,0.00686,0.84231,0.77679,0.8577,0.49703,1.44815,0.76168,0.00795,0.00132789,0.00132789,0.00132789
17,4621.2,1.50693,0.97056,0.00673,0.83105,0.76787,0.85243,0.49889,1.44332,0.78521,0.00803,0.00130528,0.00130528,0.00130528
18,4825.91,1.47839,0.95851,0.00677,0.87161,0.77484,0.87485,0.50055,1.49298,0.75062,0.00816,0.00128268,0.00128268,0.00128268
19,5041.57,1.48035,0.93388,0.00668,0.86918,0.78903,0.88273,0.51095,1.46073,0.71982,0.00798,0.00126007,0.00126007,0.00126007
20,5248.8,1.46457,0.9126,0.00673,0.86618,0.80715,0.88101,0.52293,1.4233,0.72487,0.00777,0.00123746,0.00123746,0.00123746
21,5452.97,1.4482,0.90434,0.00653,0.85309,0.80482,0.88198,0.52475,1.42799,0.7152,0.0078,0.00121485,0.00121485,0.00121485
22,5658.43,1.43616,0.88177,0.00642,0.86783,0.79774,0.87929,0.53737,1.38054,0.70419,0.00756,0.00119225,0.00119225,0.00119225
23,5867.09,1.42286,0.87421,0.00648,0.88055,0.79752,0.88524,0.52072,1.39286,0.7191,0.00767,0.00116964,0.00116964,0.00116964
24,6076.32,1.41576,0.86141,0.00631,0.89232,0.81583,0.89529,0.54454,1.38588,0.67888,0.00761,0.00114703,0.00114703,0.00114703
25,6289.65,1.41915,0.84618,0.00631,0.87708,0.80981,0.89609,0.55212,1.36352,0.65193,0.0074,0.00112443,0.00112443,0.00112443
26,6499.15,1.41281,0.84716,0.00646,0.88211,0.83468,0.90216,0.54087,1.39951,0.66914,0.00759,0.00110182,0.00110182,0.00110182
27,6703.63,1.38907,0.8255,0.00621,0.88794,0.82938,0.90796,0.55115,1.35384,0.64044,0.00734,0.00107921,0.00107921,0.00107921
28,6910.35,1.38597,0.80934,0.00619,0.88379,0.83758,0.90788,0.55473,1.34765,0.64497,0.0072,0.0010566,0.0010566,0.0010566
29,7115.13,1.37174,0.79042,0.00603,0.9025,0.84415,0.91827,0.5643,1.34794,0.61481,0.00717,0.001034,0.001034,0.001034
30,7319.26,1.34902,0.78891,0.00595,0.89254,0.82945,0.90892,0.56925,1.33937,0.61805,0.00715,0.00101139,0.00101139,0.00101139
31,7523.2,1.34804,0.76623,0.00599,0.87722,0.85612,0.92101,0.56693,1.34725,0.608,0.00721,0.000988782,0.000988782,0.000988782
